1,妖狐×僕SS,Inu x Boku SS,2012.01.13 - 2012.03.30,,12,https://cdn.myanimelist.net/images/anime/12/35893.jpg,Inu X Boku Secret Service
2,瀬戸の花嫁,Seto no Hanayome,2007.04.02 - 2007.10.01,,26,https://cdn.myanimelist.net/images/anime/13/58383.jpg,My Bride is a Mermaid
3,しゅごキャラ！！どきっ,Shugo Chara!! Doki,2008.10.04 - 2009.09.25,,51,https://cdn.myanimelist.net/images/anime/11/10645.jpg,Shugo Chara!! Doki
4,プリンセスチュチュ,Princess Tutu,2002.08.16 - 2003.05.23,,38,https://cdn.myanimelist.net/images/anime/13/32209.jpg,Princess Tutu
5,バクマン。,Bakuman. 3rd Season,2012.10.06 - 2013.03.30,,25,https://cdn.myanimelist.net/images/anime/6/41845.jpg,Bakuman.
6,夢色パティシエール,Yume-iro Pâtissière,2009.10.04 - 2010.09.26,,50,https://cdn.myanimelist.net/images/anime/12/21674.jpg,
7,ウルトラマニアック,Ultra Maniac,2003.05.20 - 2003.11.11,,26,https://cdn.myanimelist.net/images/anime/8/53571.jpg,Ultramaniac - Magical Girl
8,灼眼のシャナII –Second–,Shakugan no Shana II (Second),2007.10.05 - 2008.03.28,,24,https://cdn.myanimelist.net/images/anime/10/18669.jpg,Shakugan no Shana: Season II
9,のだめカンタービレ 巴里編,Nodame Cantabile: Paris-hen,2008.10.10 - 2008.12.19,,11,https://cdn.myanimelist.net/images/anime/4/11918.jpg,
10,桜蘭高校ホスト部,Ouran Koukou Host Club,2006.04.05 - 2006.09.27,,26,https://cdn.myanimelist.net/images/anime/2/71992.jpg,Ouran High School Host Club
11,純情ロマンチカ2(に),Junjou Romantica 2,2008.10.12 - 2008.12.28,,12,https://cdn.myanimelist.net/images/anime/6/38417.jpg,Junjo Romantica 2
12,会長はメイド様!,Kaichou wa Maid-sama!,2010.04.02 - 2010.09.24,,26,https://cdn.myanimelist.net/images/anime/6/25254.jpg,Maid Sama!
